CO,PM10,PM25,NO2,NO,NOX,ville,annee,mois,jour,heure,AQI,temperature,vent,pluie,humidite
,17.5,35.0,15.4,58.6,,Boulevard Haussmann,2025.0,2.0,15.0,7.0,99.1587982832618,1,2,2,2
,21.9,32.0,12.1,50.5,,Boulevard Haussmann,2025.0,2.0,15.0,8.0,92.84978540772534,1,1,4,3
,22.1,31.3,15.1,54.4,,Boulevard Haussmann,2025.0,2.0,15.0,9.0,91.37768240343348,1,2,2,3
,17.4,27.5,15.9,51.8,,Boulevard Haussmann,2025.0,2.0,15.0,10.0,83.3862660944206,1,2,2,1
,19.8,24.8,14.4,46.9,,Boulevard Haussmann,2025.0,2.0,15.0,11.0,77.70815450643778,2,4,1,2
,19.8,22.8,14.5,45.0,,Boulevard Haussmann,2025.0,2.0,15.0,12.0,73.50214592274679,3,1,3,1
,24.0,28.6,18.9,57.6,,Boulevard Haussmann,2025.0,2.0,15.0,13.0,85.69957081545064,4,2,2,1
,21.1,27.0,11.1,44.0,,Boulevard Haussmann,2025.0,2.0,15.0,14.0,82.33476394849785,3,2,2,2
,24.0,29.4,11.2,46.5,,Boulevard Haussmann,2025.0,2.0,15.0,15.0,87.38197424892704,2,2,2,2
,19.7,33.1,13.3,53.5,,Boulevard Haussmann,2025.0,2.0,15.0,16.0,95.16309012875536,2,3,1,2
,23.2,37.0,17.2,63.2,,Boulevard Haussmann,2025.0,2.0,15.0,17.0,104.6934673366834,3,3,2,1
,22.3,37.4,17.2,63.7,,Boulevard Haussmann,2025.0,2.0,15.0,18.0,105.678391959799,3,1,3,4
,23.3,35.1,14.4,57.2,,Boulevard Haussmann,2025.0,2.0,15.0,19.0,99.36909871244636,2,4,4,1
,25.1,32.0,7.8,44.0,,Boulevard Haussmann,2025.0,2.0,15.0,20.0,92.84978540772534,2,1,1,2
,23.6,29.3,6.0,38.3,,Boulevard Haussmann,2025.0,2.0,15.0,21.0,87.1716738197425,4,3,4,1
,27.5,39.8,7.6,51.4,,Boulevard Haussmann,2025.0,2.0,15.0,22.0,111.58793969849243,1,1,1,4
,25.4,41.5,11.6,59.1,,Boulevard Haussmann,2025.0,2.0,15.0,23.0,115.77386934673368,1,4,2,4
,22.8,43.1,12.0,61.4,,Boulevard Haussmann,2025.0,2.0,16.0,0.0,119.713567839196,4,1,1,4
,21.4,46.6,9.4,61.0,,Boulevard Haussmann,2025.0,2.0,16.0,1.0,128.3316582914573,3,2,2,3
,22.7,40.4,6.4,50.4,,Boulevard Haussmann,2025.0,2.0,16.0,2.0,113.06532663316582,2,4,4,1
,16.6,31.2,3.9,37.1,,Boulevard Haussmann,2025.0,2.0,16.0,3.0,91.16738197424894,3,4,4,2
,19.8,32.2,4.7,39.3,,Boulevard Haussmann,2025.0,2.0,16.0,4.0,93.27038626609442,1,4,3,1
,21.4,32.3,6.6,42.3,,Boulevard Haussmann,2025.0,2.0,16.0,5.0,93.48068669527896,1,1,3,4
,23.0,29.7,5.2,37.6,,Boulevard Haussmann,2025.0,2.0,16.0,6.0,88.01287553648069,3,1,1,4
,21.9,29.8,5.7,38.4,,Boulevard Haussmann,2025.0,2.0,16.0,7.0,88.22317596566525,1,2,1,4
,22.4,28.8,7.9,40.8,,Boulevard Haussmann,2025.0,2.0,16.0,8.0,86.12017167381975,2,4,2,1
,22.3,23.7,9.3,38.0,,Boulevard Haussmann,2025.0,2.0,16.0,9.0,75.39484978540773,4,2,4,2
,29.1,21.8,9.7,36.8,,Boulevard Haussmann,2025.0,2.0,16.0,10.0,71.3991416309013,3,4,4,3
,23.1,20.0,9.7,34.8,,Boulevard Haussmann,2025.0,2.0,16.0,11.0,67.61373390557941,2,3,1,4
,24.0,19.8,8.8,33.3,,Boulevard Haussmann,2025.0,2.0,16.0,12.0,67.19313304721031,2,1,4,2
,21.6,19.9,9.1,33.8,,Boulevard Haussmann,2025.0,2.0,16.0,13.0,67.40343347639485,1,2,3,4
,25.6,22.5,8.2,35.0,,Boulevard Haussmann,2025.0,2.0,16.0,14.0,72.87124463519314,2,1,1,4
,21.8,27.9,10.6,44.1,,Boulevard Haussmann,2025.0,2.0,16.0,15.0,84.2274678111588,3,1,3,1
,20.8,31.5,10.3,47.2,,Boulevard Haussmann,2025.0,2.0,16.0,16.0,91.79828326180258,2,3,2,3
,19.5,30.8,9.4,45.3,,Boulevard Haussmann,2025.0,2.0,16.0,17.0,90.32618025751074,4,3,3,4
,22.3,37.5,10.0,52.8,,Boulevard Haussmann,2025.0,2.0,16.0,18.0,105.92462311557787,2,4,1,3
,21.1,40.4,6.6,50.4,,Boulevard Haussmann,2025.0,2.0,16.0,19.0,113.06532663316582,2,3,3,4
,26.1,42.7,7.4,54.1,,Boulevard Haussmann,2025.0,2.0,16.0,20.0,118.7286432160804,4,4,3,1
,28.3,42.4,7.2,53.5,,Boulevard Haussmann,2025.0,2.0,16.0,21.0,117.98994974874373,2,3,1,4
,30.0,45.2,7.0,56.0,,Boulevard Haussmann,2025.0,2.0,16.0,22.0,124.88442211055278,2,3,2,2
,32.6,49.8,10.6,66.1,,Boulevard Haussmann,2025.0,2.0,16.0,23.0,136.2110552763819,1,2,3,3
,17.4,31.7,5.5,40.2,,Boulevard Haussmann,2025.0,2.0,17.0,0.0,92.21888412017168,3,3,1,2
,19.2,27.2,5.3,35.2,,Boulevard Haussmann,2025.0,2.0,17.0,1.0,82.75536480686696,1,2,3,1
,19.9,24.6,4.3,31.2,,Boulevard Haussmann,2025.0,2.0,17.0,2.0,77.28755364806868,3,3,3,2
,17.1,22.9,4.3,29.4,,Boulevard Haussmann,2025.0,2.0,17.0,3.0,73.71244635193133,4,2,4,2
,16.7,24.3,4.1,30.5,,Boulevard Haussmann,2025.0,2.0,17.0,4.0,76.65665236051503,4,1,3,2
,19.1,26.1,4.7,33.4,,Boulevard Haussmann,2025.0,2.0,17.0,5.0,80.44206008583691,4,4,2,3
,16.9,34.4,9.5,48.9,,Boulevard Haussmann,2025.0,2.0,17.0,6.0,97.8969957081545,3,3,3,1
,21.3,48.2,21.3,80.9,,Boulevard Haussmann,2025.0,2.0,17.0,7.0,132.2713567839196,3,2,1,4
,19.5,48.8,35.6,103.3,,Boulevard Haussmann,2025.0,2.0,17.0,8.0,133.74874371859295,3,3,1,3
,23.8,44.3,34.3,97.1,,Boulevard Haussmann,2025.0,2.0,17.0,9.0,122.66834170854273,4,2,4,3
,27.4,38.3,23.6,74.5,,Boulevard Haussmann,2025.0,2.0,17.0,10.0,107.89447236180904,3,2,4,1
,23.9,35.8,21.7,69.0,,Boulevard Haussmann,2025.0,2.0,17.0,11.0,101.73869346733667,2,3,3,3
,23.3,35.4,20.5,66.9,,Boulevard Haussmann,2025.0,2.0,17.0,12.0,100.0,1,4,4,4
,,32.9,17.4,59.6,,Boulevard Haussmann,2025.0,2.0,17.0,13.0,94.74248927038629,4,2,2,3
,23.8,34.1,16.8,59.8,,Boulevard Haussmann,2025.0,2.0,17.0,14.0,97.26609442060088,1,1,4,2
,27.2,37.2,19.1,66.5,,Boulevard Haussmann,2025.0,2.0,17.0,15.0,105.1859296482412,2,3,1,3
,23.0,35.7,12.3,54.5,,Boulevard Haussmann,2025.0,2.0,17.0,16.0,101.4924623115578,3,1,4,1
,24.2,41.3,12.6,60.6,,Boulevard Haussmann,2025.0,2.0,17.0,17.0,115.28140703517587,1,2,2,1
,20.8,43.9,12.3,62.8,,Boulevard Haussmann,2025.0,2.0,17.0,18.0,121.68341708542714,2,2,2,3
,19.9,50.7,11.8,68.8,,Boulevard Haussmann,2025.0,2.0,17.0,19.0,138.42713567839198,2,3,4,3
,21.4,47.4,10.1,63.0,,Boulevard Haussmann,2025.0,2.0,17.0,20.0,130.30150753768845,1,4,4,2
,23.4,44.1,6.3,53.7,,Boulevard Haussmann,2025.0,2.0,17.0,21.0,122.17587939698493,4,1,4,3
,20.4,50.9,8.4,63.8,,Boulevard Haussmann,2025.0,2.0,17.0,22.0,138.91959798994975,1,4,1,4
,26.2,55.4,9.5,70.0,,Boulevard Haussmann,2025.0,2.0,17.0,23.0,150.0,4,1,1,2
,22.1,50.4,7.1,61.2,,Boulevard Haussmann,2025.0,2.0,18.0,0.0,137.68844221105527,3,4,2,4
,22.8,43.6,7.9,55.7,,Boulevard Haussmann,2025.0,2.0,18.0,1.0,120.94472361809044,4,3,4,2
,20.6,41.0,4.1,47.3,,Boulevard Haussmann,2025.0,2.0,18.0,2.0,114.5427135678392,3,1,3,4
,16.3,39.6,4.7,46.7,,Boulevard Haussmann,2025.0,2.0,18.0,3.0,111.09547738693468,1,3,2,4
,16.6,28.2,3.6,33.6,,Boulevard Haussmann,2025.0,2.0,18.0,4.0,84.85836909871244,3,4,1,4
,19.5,37.6,5.9,46.5,,Boulevard Haussmann,2025.0,2.0,18.0,5.0,106.1708542713568,2,4,2,4
,19.5,47.7,17.7,74.9,,Boulevard Haussmann,2025.0,2.0,18.0,6.0,131.04020100502512,3,4,1,3
,20.5,50.9,21.9,84.4,,Boulevard Haussmann,2025.0,2.0,18.0,7.0,138.91959798994975,4,3,3,3
,25.8,47.8,28.7,91.8,,Boulevard Haussmann,2025.0,2.0,18.0,8.0,131.28643216080405,4,2,4,1
,31.0,41.4,30.7,88.4,,Boulevard Haussmann,2025.0,2.0,18.0,9.0,115.52763819095478,4,2,4,3
,27.3,38.1,30.4,84.7,,Boulevard Haussmann,2025.0,2.0,18.0,10.0,107.40201005025126,3,1,4,1
,28.4,37.1,26.7,78.1,,Boulevard Haussmann,2025.0,2.0,18.0,11.0,104.93969849246233,4,3,3,4
,29.2,37.5,26.6,78.2,,Boulevard Haussmann,2025.0,2.0,18.0,12.0,105.92462311557787,4,3,3,2
,25.5,33.3,18.6,61.9,,Boulevard Haussmann,2025.0,2.0,18.0,13.0,95.58369098712448,2,3,3,2
,21.4,33.5,15.1,56.7,,Boulevard Haussmann,2025.0,2.0,18.0,14.0,96.00429184549355,3,4,3,3
,21.0,31.3,12.5,50.4,,Boulevard Haussmann,2025.0,2.0,18.0,15.0,91.37768240343348,2,3,1,4
,14.6,31.9,11.5,49.6,,Boulevard Haussmann,2025.0,2.0,18.0,16.0,92.63948497854076,4,2,2,1
,19.4,32.7,9.5,47.1,,Boulevard Haussmann,2025.0,2.0,18.0,17.0,94.32188841201716,4,1,3,1
,16.5,37.8,8.8,51.3,,Boulevard Haussmann,2025.0,2.0,18.0,18.0,106.66331658291456,4,2,1,1
,15.5,31.8,7.0,42.5,,Boulevard Haussmann,2025.0,2.0,18.0,19.0,92.42918454935624,3,3,2,2
,19.7,33.7,5.6,42.2,,Boulevard Haussmann,2025.0,2.0,18.0,20.0,96.42489270386268,1,1,2,1
,16.6,32.2,5.9,41.3,,Boulevard Haussmann,2025.0,2.0,18.0,21.0,93.27038626609442,4,1,3,2
,21.0,28.7,5.9,37.9,,Boulevard Haussmann,2025.0,2.0,18.0,22.0,85.9098712446352,4,3,3,4
,16.1,27.0,6.4,36.8,,Boulevard Haussmann,2025.0,2.0,18.0,23.0,82.33476394849785,4,3,2,2
,17.6,25.6,4.1,31.8,,Boulevard Haussmann,2025.0,2.0,19.0,0.0,79.39055793991417,4,2,2,4
,19.2,21.7,4.7,28.8,,Boulevard Haussmann,2025.0,2.0,19.0,1.0,71.18884120171674,3,2,1,3
,17.7,21.2,4.1,27.6,,Boulevard Haussmann,2025.0,2.0,19.0,2.0,70.137339055794,1,4,3,3
,19.4,19.9,3.6,25.4,,Boulevard Haussmann,2025.0,2.0,19.0,3.0,67.40343347639485,1,4,2,2
,20.3,20.7,3.7,26.3,,Boulevard Haussmann,2025.0,2.0,19.0,4.0,69.08583690987125,1,4,2,3
,22.0,24.7,5.2,32.8,,Boulevard Haussmann,2025.0,2.0,19.0,5.0,77.49785407725322,4,3,4,3
,20.0,32.4,12.9,52.2,,Boulevard Haussmann,2025.0,2.0,19.0,6.0,93.69098712446352,4,3,3,4
,23.7,43.1,32.1,92.4,,Boulevard Haussmann,2025.0,2.0,19.0,7.0,119.713567839196,1,4,1,4
,23.1,43.3,37.6,101.0,,Boulevard Haussmann,2025.0,2.0,19.0,8.0,120.20603015075376,1,4,1,2
,26.0,44.6,48.0,118.1,,Boulevard Haussmann,2025.0,2.0,19.0,9.0,123.4070351758794,4,2,4,2
,31.3,42.6,44.4,110.8,,Boulevard Haussmann,2025.0,2.0,19.0,10.0,118.48241206030151,4,4,3,1
,29.4,41.7,44.5,109.9,,Boulevard Haussmann,2025.0,2.0,19.0,11.0,116.26633165829146,2,4,1,1
,34.1,46.2,53.6,128.4,,Boulevard Haussmann,2025.0,2.0,19.0,12.0,127.34673366834171,2,1,4,3
,38.2,47.7,44.2,115.5,,Boulevard Haussmann,2025.0,2.0,19.0,13.0,131.04020100502512,2,4,1,3
,31.7,49.8,36.7,106.1,,Boulevard Haussmann,2025.0,2.0,19.0,14.0,136.2110552763819,1,1,1,4
,28.7,55.2,52.0,134.9,,Boulevard Haussmann,2025.0,2.0,19.0,15.0,149.50753768844223,3,4,4,2
,27.9,54.0,42.0,118.4,,Boulevard Haussmann,2025.0,2.0,19.0,16.0,146.55276381909547,4,1,2,1
,26.3,53.0,34.6,106.2,,Boulevard Haussmann,2025.0,2.0,19.0,17.0,144.09045226130655,2,4,2,1
,29.5,58.6,48.0,132.1,,Boulevard Haussmann,2025.0,2.0,19.0,18.0,152.60063224446787,3,2,1,2
,31.8,56.3,41.3,119.6,,Boulevard Haussmann,2025.0,2.0,19.0,19.0,151.4130663856691,4,3,3,2
,33.0,57.0,51.7,136.3,,Boulevard Haussmann,2025.0,2.0,19.0,20.0,151.77449947312962,3,1,3,2
,37.8,57.4,64.8,156.7,,Boulevard Haussmann,2025.0,2.0,19.0,21.0,151.98103266596416,1,3,3,1
,38.5,57.6,58.9,147.8,,Boulevard Haussmann,2025.0,2.0,19.0,22.0,152.08429926238145,1,2,4,4
,32.2,57.9,56.1,144.0,,Boulevard Haussmann,2025.0,2.0,19.0,23.0,152.23919915700736,1,4,1,2
,24.4,57.2,57.7,145.7,,Boulevard Haussmann,2025.0,2.0,20.0,0.0,151.87776606954688,2,4,4,3
,19.0,53.7,31.1,101.3,,Boulevard Haussmann,2025.0,2.0,20.0,1.0,145.8140703517588,4,2,3,1
,17.5,43.6,22.7,78.3,,Boulevard Haussmann,2025.0,2.0,20.0,2.0,120.94472361809044,1,3,4,4
,11.4,20.0,6.7,30.1,,Boulevard Haussmann,2025.0,2.0,20.0,3.0,67.61373390557941,2,3,2,2
,8.5,23.0,6.8,33.4,,Boulevard Haussmann,2025.0,2.0,20.0,4.0,73.92274678111588,2,3,3,3
,7.8,25.8,9.5,40.4,,Boulevard Haussmann,2025.0,2.0,20.0,5.0,79.81115879828327,2,3,3,1
,6.5,26.0,10.9,42.7,,Boulevard Haussmann,2025.0,2.0,20.0,6.0,80.23175965665237,2,1,2,2
,2.8,51.0,25.7,90.4,,Boulevard Haussmann,2025.0,2.0,20.0,7.0,139.16582914572865,1,3,2,3
,6.0,52.0,30.2,98.3,,Boulevard Haussmann,2025.0,2.0,20.0,8.0,141.6281407035176,2,1,1,2
,5.6,40.7,24.2,77.9,,Boulevard Haussmann,2025.0,2.0,20.0,9.0,113.80402010050253,1,2,4,3
,5.9,34.6,18.2,62.5,,Boulevard Haussmann,2025.0,2.0,20.0,10.0,98.3175965665236,1,4,1,4
,7.1,39.5,25.2,78.1,,Boulevard Haussmann,2025.0,2.0,20.0,11.0,110.84924623115576,2,1,1,1
,7.5,38.3,24.8,76.4,,Boulevard Haussmann,2025.0,2.0,20.0,12.0,107.89447236180904,1,3,1,4
,7.9,35.5,23.1,71.0,,Boulevard Haussmann,2025.0,2.0,20.0,13.0,101.0,4,4,1,1
,6.0,46.3,32.2,95.7,,Boulevard Haussmann,2025.0,2.0,20.0,14.0,127.5929648241206,4,1,2,1
,6.9,52.9,43.0,118.8,,Boulevard Haussmann,2025.0,2.0,20.0,15.0,143.84422110552765,3,4,2,2
,9.7,49.7,33.6,101.3,,Boulevard Haussmann,2025.0,2.0,20.0,16.0,135.96482412060303,4,2,4,4
,8.9,62.5,46.3,133.5,,Boulevard Haussmann,2025.0,2.0,20.0,17.0,154.61433087460486,1,3,4,1
,12.1,62.0,37.1,118.8,,Boulevard Haussmann,2025.0,2.0,20.0,18.0,154.35616438356163,1,2,4,3
,12.6,64.8,35.2,118.8,,Boulevard Haussmann,2025.0,2.0,20.0,19.0,155.8018967334036,4,4,2,2
,13.0,55.8,20.1,86.6,,Boulevard Haussmann,2025.0,2.0,20.0,20.0,151.1548998946259,2,2,3,3
,13.1,45.9,15.0,69.1,,Boulevard Haussmann,2025.0,2.0,20.0,21.0,126.60804020100502,2,3,3,3
,13.5,49.1,18.4,77.3,,Boulevard Haussmann,2025.0,2.0,20.0,22.0,134.48743718592965,1,1,4,3
,14.9,49.3,17.0,75.6,,Boulevard Haussmann,2025.0,2.0,20.0,23.0,134.97989949748742,2,2,3,2
,13.6,50.3,18.1,78.1,,Boulevard Haussmann,2025.0,2.0,21.0,0.0,137.44221105527637,3,3,1,4
,11.2,47.8,12.3,66.5,,Boulevard Haussmann,2025.0,2.0,21.0,1.0,131.28643216080405,3,4,4,3
,16.0,36.4,7.7,48.4,,Boulevard Haussmann,2025.0,2.0,21.0,2.0,103.21608040201004,4,2,3,3
,15.3,35.9,11.8,54.0,,Boulevard Haussmann,2025.0,2.0,21.0,3.0,101.98492462311556,4,1,1,1
,14.8,36.5,8.4,49.2,,Boulevard Haussmann,2025.0,2.0,21.0,4.0,103.46231155778896,2,2,1,2
,12.2,38.7,10.4,54.6,,Boulevard Haussmann,2025.0,2.0,21.0,5.0,108.87939698492464,1,4,1,4
,13.1,51.5,34.3,103.7,,Boulevard Haussmann,2025.0,2.0,21.0,6.0,140.39698492462313,4,4,1,1
,11.0,59.7,35.4,113.5,,Boulevard Haussmann,2025.0,2.0,21.0,7.0,153.1685985247629,3,4,3,4
,10.5,60.4,41.1,123.5,,Boulevard Haussmann,2025.0,2.0,21.0,8.0,153.53003161222338,4,2,2,3
,13.8,53.3,36.3,108.5,,Boulevard Haussmann,2025.0,2.0,21.0,9.0,144.8291457286432,4,2,1,3
,11.2,46.9,33.6,97.3,,Boulevard Haussmann,2025.0,2.0,21.0,10.0,129.07035175879398,3,2,4,2
,11.4,42.3,23.8,78.4,,Boulevard Haussmann,2025.0,2.0,21.0,11.0,117.74371859296484,1,1,3,3
,14.1,41.3,26.1,81.6,,Boulevard Haussmann,2025.0,2.0,21.0,12.0,115.28140703517587,4,3,1,2
,16.2,36.6,18.8,65.4,,Boulevard Haussmann,2025.0,2.0,21.0,13.0,103.70854271356784,4,2,4,3
,18.9,45.5,30.7,93.0,,Boulevard Haussmann,2025.0,2.0,21.0,14.0,125.62311557788944,4,1,1,3
,15.0,42.1,25.5,80.3,,Boulevard Haussmann,2025.0,2.0,21.0,15.0,117.25125628140704,2,4,2,1
,14.9,41.1,22.2,75.0,,Boulevard Haussmann,2025.0,2.0,21.0,16.0,114.7889447236181,4,2,1,3
,18.4,38.6,19.7,68.6,,Boulevard Haussmann,2025.0,2.0,21.0,17.0,108.63316582914574,3,2,2,4
,16.8,37.9,14.4,59.9,,Boulevard Haussmann,2025.0,2.0,21.0,18.0,106.90954773869346,1,2,4,4
,14.9,39.2,13.9,60.5,,Boulevard Haussmann,2025.0,2.0,21.0,19.0,110.1105527638191,1,1,3,1
,15.0,40.9,16.6,66.4,,Boulevard Haussmann,2025.0,2.0,21.0,20.0,114.2964824120603,3,2,1,1
,14.8,45.5,13.3,66.2,,Boulevard Haussmann,2025.0,2.0,21.0,21.0,125.62311557788944,2,2,2,3
,17.6,40.1,15.2,63.0,,Boulevard Haussmann,2025.0,2.0,21.0,22.0,112.32663316582916,3,3,4,1
,10.2,34.5,17.8,61.4,,Boulevard Haussmann,2025.0,2.0,21.0,23.0,98.10729613733906,1,1,1,2
,9.8,26.7,11.0,43.5,,Boulevard Haussmann,2025.0,2.0,22.0,0.0,81.70386266094421,3,3,1,1
,14.1,24.6,8.6,37.6,,Boulevard Haussmann,2025.0,2.0,22.0,1.0,77.28755364806868,2,3,1,4
,10.5,17.6,7.7,29.1,,Boulevard Haussmann,2025.0,2.0,22.0,2.0,62.56652360515022,1,3,2,2
,12.4,15.2,5.7,23.8,,Boulevard Haussmann,2025.0,2.0,22.0,3.0,57.51931330472103,2,3,3,4
,6.6,15.2,5.1,22.9,,Boulevard Haussmann,2025.0,2.0,22.0,4.0,57.51931330472103,3,4,4,1
,5.9,19.4,7.6,31.3,,Boulevard Haussmann,2025.0,2.0,22.0,5.0,66.3519313304721,4,2,2,1
,6.8,25.5,9.0,39.3,,Boulevard Haussmann,2025.0,2.0,22.0,6.0,79.18025751072962,3,3,3,1
,7.7,34.9,14.1,56.7,,Boulevard Haussmann,2025.0,2.0,22.0,7.0,98.94849785407726,2,1,4,3
,8.1,30.7,12.0,49.0,,Boulevard Haussmann,2025.0,2.0,22.0,8.0,90.1158798283262,3,2,2,4
,8.1,22.2,10.7,38.3,,Boulevard Haussmann,2025.0,2.0,22.0,9.0,72.24034334763948,4,3,2,3
,4.9,15.7,6.2,25.2,,Boulevard Haussmann,2025.0,2.0,22.0,10.0,58.57081545064378,2,3,3,3
,3.6,22.3,9.7,37.3,,Boulevard Haussmann,2025.0,2.0,22.0,11.0,72.45064377682404,3,1,4,3
,3.7,25.7,12.4,44.7,,Boulevard Haussmann,2025.0,2.0,22.0,12.0,79.60085836909872,2,4,3,4
,5.7,21.7,13.3,42.2,,Boulevard Haussmann,2025.0,2.0,22.0,13.0,71.18884120171674,2,1,3,2
,4.7,16.0,7.0,26.6,,Boulevard Haussmann,2025.0,2.0,22.0,14.0,59.20171673819743,1,4,2,1
,2.5,27.4,15.2,50.6,,Boulevard Haussmann,2025.0,2.0,22.0,15.0,83.17596566523605,1,4,3,3
,3.9,32.0,22.3,66.2,,Boulevard Haussmann,2025.0,2.0,22.0,16.0,92.84978540772534,2,4,1,4
,5.0,38.5,25.8,78.0,,Boulevard Haussmann,2025.0,2.0,22.0,17.0,108.38693467336684,3,3,1,4
,8.0,59.5,38.1,117.9,,Boulevard Haussmann,2025.0,2.0,22.0,18.0,153.0653319283456,3,3,1,1
,5.6,72.4,39.0,132.2,,Boulevard Haussmann,2025.0,2.0,22.0,19.0,159.72602739726028,3,4,1,3
,9.1,70.6,33.9,122.5,,Boulevard Haussmann,2025.0,2.0,22.0,20.0,158.79662802950477,4,4,4,2
,10.1,57.1,15.7,81.2,,Boulevard Haussmann,2025.0,2.0,22.0,21.0,151.82613277133825,2,3,3,1
,9.6,62.3,24.6,100.1,,Boulevard Haussmann,2025.0,2.0,22.0,22.0,154.51106427818758,2,4,3,2
,13.0,65.2,35.3,119.2,,Boulevard Haussmann,2025.0,2.0,22.0,23.0,156.00842992623814,4,3,1,3
,14.5,66.4,23.4,102.4,,Boulevard Haussmann,2025.0,2.0,23.0,0.0,156.62802950474185,2,4,4,1
,16.9,67.9,37.4,125.2,,Boulevard Haussmann,2025.0,2.0,23.0,1.0,157.40252897787144,2,3,3,3
,20.4,65.2,40.3,126.9,,Boulevard Haussmann,2025.0,2.0,23.0,2.0,156.00842992623814,4,1,1,3
,17.6,59.6,35.5,114.0,,Boulevard Haussmann,2025.0,2.0,23.0,3.0,153.11696522655427,1,4,2,4
,18.2,54.5,28.1,97.7,,Boulevard Haussmann,2025.0,2.0,23.0,4.0,147.78391959798995,2,4,3,2
,19.7,48.8,20.0,79.5,,Boulevard Haussmann,2025.0,2.0,23.0,5.0,133.74874371859295,4,1,2,2
,16.2,45.4,23.1,80.8,,Boulevard Haussmann,2025.0,2.0,23.0,6.0,125.37688442211056,3,2,3,1
,15.0,44.0,28.2,87.2,,Boulevard Haussmann,2025.0,2.0,23.0,7.0,121.92964824120602,1,4,3,3
,12.4,39.0,20.0,69.7,,Boulevard Haussmann,2025.0,2.0,23.0,8.0,109.61809045226131,3,2,3,1
,13.9,39.4,30.8,86.5,,Boulevard Haussmann,2025.0,2.0,23.0,9.0,110.60301507537687,2,1,2,1
,12.1,32.7,19.2,62.1,,Boulevard Haussmann,2025.0,2.0,23.0,10.0,94.32188841201716,1,4,4,3
,9.6,19.8,9.3,34.2,,Boulevard Haussmann,2025.0,2.0,23.0,11.0,67.19313304721031,4,2,2,2
,9.0,17.8,9.6,32.5,,Boulevard Haussmann,2025.0,2.0,23.0,12.0,62.98712446351932,2,4,1,1
,5.5,11.3,6.4,21.3,,Boulevard Haussmann,2025.0,2.0,23.0,13.0,47.08333333333334,4,4,4,1
,2.8,9.4,5.3,17.4,,Boulevard Haussmann,2025.0,2.0,23.0,14.0,39.16666666666667,1,3,2,1
,2.2,11.1,6.1,20.5,,Boulevard Haussmann,2025.0,2.0,23.0,15.0,46.25,3,2,2,3
,2.9,15.1,9.4,29.4,,Boulevard Haussmann,2025.0,2.0,23.0,16.0,57.30901287553648,2,3,1,1
,3.0,27.1,15.3,50.6,,Boulevard Haussmann,2025.0,2.0,23.0,17.0,82.54506437768241,2,3,2,2
,4.9,33.3,20.0,64.1,,Boulevard Haussmann,2025.0,2.0,23.0,18.0,95.58369098712448,4,2,4,4
,6.3,27.8,11.9,46.1,,Boulevard Haussmann,2025.0,2.0,23.0,19.0,84.01716738197425,1,2,2,2
,3.0,19.9,6.5,29.8,,Boulevard Haussmann,2025.0,2.0,23.0,20.0,67.40343347639485,4,3,4,3
,2.7,15.5,4.9,23.0,,Boulevard Haussmann,2025.0,2.0,23.0,21.0,58.15021459227468,1,4,1,4
,5.8,18.8,6.5,28.7,,Boulevard Haussmann,2025.0,2.0,23.0,22.0,65.09012875536482,2,4,4,3
,6.8,15.9,5.5,24.3,,Boulevard Haussmann,2025.0,2.0,23.0,23.0,58.99141630901288,1,1,2,3
,3.0,10.0,4.0,16.2,,Boulevard Haussmann,2025.0,2.0,24.0,0.0,41.66666666666667,2,4,1,4
,3.9,8.1,3.1,12.9,,Boulevard Haussmann,2025.0,2.0,24.0,1.0,33.75,1,2,4,3
,4.1,7.3,3.1,12.0,,Boulevard Haussmann,2025.0,2.0,24.0,2.0,30.416666666666668,3,2,4,2
,1.5,7.5,3.2,12.3,,Boulevard Haussmann,2025.0,2.0,24.0,3.0,31.250000000000004,1,1,3,4
,0.2,9.9,4.7,17.0,,Boulevard Haussmann,2025.0,2.0,24.0,4.0,41.25000000000001,3,2,3,3
,0.1,13.0,4.0,19.2,,Boulevard Haussmann,2025.0,2.0,24.0,5.0,52.892703862660944,1,3,2,1
,2.4,25.3,13.1,45.4,,Boulevard Haussmann,2025.0,2.0,24.0,6.0,78.75965665236052,1,1,3,2
,5.7,32.9,15.0,55.8,,Boulevard Haussmann,2025.0,2.0,24.0,7.0,94.74248927038629,4,1,2,4
,4.0,35.4,17.7,62.4,,Boulevard Haussmann,2025.0,2.0,24.0,8.0,100.0,4,4,1,4
,7.4,30.5,17.4,57.2,,Boulevard Haussmann,2025.0,2.0,24.0,9.0,89.69527896995709,2,4,4,3
,7.0,22.0,11.0,38.8,,Boulevard Haussmann,2025.0,2.0,24.0,10.0,71.8197424892704,4,3,1,4
,5.4,20.3,11.0,37.2,,Boulevard Haussmann,2025.0,2.0,24.0,11.0,68.24463519313305,1,3,1,4
,4.1,18.4,9.4,32.9,,Boulevard Haussmann,2025.0,2.0,24.0,12.0,64.2489270386266,4,4,3,3
,5.6,19.9,9.8,35.0,,Boulevard Haussmann,2025.0,2.0,24.0,13.0,67.40343347639485,1,4,4,1
,7.4,32.2,20.2,63.2,,Boulevard Haussmann,2025.0,2.0,24.0,14.0,93.27038626609442,3,3,1,2
,7.0,28.1,20.4,59.3,,Boulevard Haussmann,2025.0,2.0,24.0,15.0,84.6480686695279,1,4,4,2
